functionality;architecture;neutral
[0.5, 0.5];[0.5, 0.5];[0.5, 0.5]
[0.3333333333333333, 0.3333333333333333, 0.3333333333333333];[0.3333333333333333, 0.3333333333333333, 0.3333333333333333];[0.375, 0.375, 0.25]
[0.5, 0.5];[0.5, 0.5];[0.4, 0.6]
[0.5, 0.5];[0.5, 0.5];[0.5, 0.5]
[0.5, 0.5];[0.5, 0.5];[0.4, 0.6]
[0.5, 0.5];[0.5, 0.5];[0.5, 0.5]
[0.09433962264150944, 0.09433962264150944, 0.09433962264150944, 0.09433962264150944, 0.09433962264150944, 0.09433962264150944, 0.09433962264150944, 0.018867924528301886, 0.07547169811320754, 0.07547169811320754, 0.07547169811320754, 0.07547169811320754, 0.018867924528301886];[0.11363636363636363, 0.11363636363636363, 0.11363636363636363, 0.11363636363636363, 0.11363636363636363, 0.11363636363636363, 0.11363636363636363, 0.022727272727272728, 0.022727272727272728, 0.022727272727272728, 0.022727272727272728, 0.022727272727272728, 0.09090909090909091];[0.08823529411764706, 0.08823529411764706, 0.08823529411764706, 0.08823529411764706, 0.08823529411764706, 0.08823529411764706, 0.058823529411764705, 0.08823529411764706, 0.08823529411764706, 0.058823529411764705, 0.058823529411764705, 0.058823529411764705, 0.058823529411764705]
[0.35714285714285715, 0.35714285714285715, 0.2857142857142857];[0.45454545454545453, 0.45454545454545453, 0.09090909090909091];[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]
[0.35714285714285715, 0.35714285714285715, 0.2857142857142857];[0.45454545454545453, 0.45454545454545453, 0.09090909090909091];[0.375, 0.375, 0.25]
[0.5555555555555556, 0.4444444444444444];[0.8333333333333334, 0.16666666666666666];[0.6, 0.4]
[0.3333333333333333, 0.3333333333333333, 0.3333333333333333];[0.3333333333333333, 0.3333333333333333, 0.3333333333333333];[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]
[0.25, 0.25, 0.25, 0.25];[0.25, 0.25, 0.25, 0.25];[0.2727272727272727, 0.2727272727272727, 0.2727272727272727, 0.18181818181818182]
[0.5, 0.5];[0.5, 0.5];[0.5, 0.5]
[0.5, 0.5];[0.5, 0.5];[0.4, 0.6]
